Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_2/inst/probe0_1[23:0]
0,0,0,302438
1,1,0,302438
2,2,0,302438
3,3,0,302438
4,4,0,302438
5,5,0,302438
6,6,0,302438
7,7,0,302438
8,8,0,302438
9,9,0,302438
10,10,0,302438
11,11,0,302438
12,12,0,302438
13,13,0,302438
14,14,0,302438
15,15,0,302438
16,16,0,302438
17,17,0,302438
18,18,0,302438
19,19,0,302438
20,20,0,302438
21,21,0,302438
22,22,0,302438
23,23,0,302438
24,24,0,302438
25,25,0,302438
26,26,0,302438
27,27,0,302438
28,28,0,302438
29,29,0,302438
30,30,0,302438
31,31,0,302438
32,32,0,302438
33,33,0,302438
34,34,0,302438
35,35,0,302438
36,36,0,302438
37,37,0,302438
38,38,0,302438
39,39,0,302438
40,40,0,302438
41,41,0,302438
42,42,0,302438
43,43,0,302438
44,44,0,302438
45,45,0,302438
46,46,0,302438
47,47,0,302438
48,48,0,302438
49,49,0,302438
50,50,0,302438
51,51,0,302438
52,52,0,302438
53,53,0,302438
54,54,0,302438
55,55,0,302438
56,56,0,302438
57,57,0,302438
58,58,0,302438
59,59,0,302438
60,60,0,302438
61,61,0,302438
62,62,0,302438
63,63,0,302438
64,64,0,302438
65,65,0,302438
66,66,0,302438
67,67,0,302438
68,68,0,302438
69,69,0,302438
70,70,0,302438
71,71,0,302438
72,72,0,302438
73,73,0,302438
74,74,0,302438
75,75,0,302438
76,76,0,302438
77,77,0,302438
78,78,0,302438
79,79,0,302438
80,80,0,302438
81,81,0,302438
82,82,0,302438
83,83,0,302438
84,84,0,302438
85,85,0,302438
86,86,0,302438
87,87,0,302438
88,88,0,302438
89,89,0,302438
90,90,0,302438
91,91,0,302438
92,92,0,302438
93,93,0,302438
94,94,0,302438
95,95,0,302438
96,96,0,302438
97,97,0,302438
98,98,0,302438
99,99,0,302438
100,100,0,302438
101,101,0,302438
102,102,0,302438
103,103,0,302438
104,104,0,302438
105,105,0,302438
106,106,0,302438
107,107,0,302438
108,108,0,302438
109,109,0,302438
110,110,0,302438
111,111,0,302438
112,112,0,302438
113,113,0,302438
114,114,0,302438
115,115,0,302438
116,116,0,302438
117,117,0,302438
118,118,0,302438
119,119,0,302438
120,120,0,302438
121,121,0,302438
122,122,0,302438
123,123,0,302438
124,124,0,302438
125,125,0,302438
126,126,0,302438
127,127,0,302438
128,128,0,302438
129,129,0,302438
130,130,0,302438
131,131,0,302438
132,132,0,302438
133,133,0,302438
134,134,0,302438
135,135,0,302438
136,136,0,302438
137,137,0,302438
138,138,0,302438
139,139,0,302438
140,140,0,302438
141,141,0,302438
142,142,0,302438
143,143,0,302438
144,144,0,302438
145,145,0,302438
146,146,0,302438
147,147,0,302438
148,148,0,302438
149,149,0,302438
150,150,0,302438
151,151,0,302438
152,152,0,302438
153,153,0,302438
154,154,0,302438
155,155,0,302438
156,156,0,302438
157,157,0,302438
158,158,0,302438
159,159,0,302438
160,160,0,302438
161,161,0,302438
162,162,0,302438
163,163,0,302438
164,164,0,302438
165,165,0,302438
166,166,0,302438
167,167,0,302438
168,168,0,302438
169,169,0,302438
170,170,0,302438
171,171,0,302438
172,172,0,302438
173,173,0,302438
174,174,0,302438
175,175,0,302438
176,176,0,302438
177,177,0,302438
178,178,0,302438
179,179,0,302438
180,180,0,302438
181,181,0,302438
182,182,0,302438
183,183,0,302438
184,184,0,302438
185,185,0,302438
186,186,0,302438
187,187,0,302438
188,188,0,302438
189,189,0,302438
190,190,0,302438
191,191,0,302438
192,192,0,302438
193,193,0,302438
194,194,0,302438
195,195,0,302438
196,196,0,302438
197,197,0,302438
198,198,0,302438
199,199,0,302438
200,200,0,302438
201,201,0,302438
202,202,0,302438
203,203,0,302438
204,204,0,302438
205,205,0,302438
206,206,0,302438
207,207,0,302438
208,208,0,302438
209,209,0,302438
210,210,0,302438
211,211,0,302438
212,212,0,302438
213,213,0,302438
214,214,0,302438
